"","comp1","comp2"
"X2OXOGLUTARATEDEH.RXN__cyto",0,0
"RXN.14214__er",0,0
"URKI.RXN__cyto",0,0
"TI0000214__cyto__extr",0,0
"TO0011423__cyto__extr",-0.160196751673168,0
"RXN.10938__er",0,0
"RXN.10938__cyto",0,0
"DIHYDROOROTATE.DEHYDROGENASE.RXN__mito",0,0
"RXNQT.4143__extr",0,0
"URIDINE.NUCLEOSIDASE.RXN__cyto",0,0
"RXN0.1134__mito",0,0
"RXN0.1134__chlo",0,0
"DGDPKIN.RXN__cyto",0,0
"L.ASCORBATE.PEROXIDASE.RXN__cyto",0,0
"L.ASCORBATE.PEROXIDASE.RXN__chlo",0,0
"X2.7.7.15.RXN__cyto",0,0
"MYO.INOSITOL.1.KINASE.RXN__cyto",0,0
"TZ3100041__cyto__extr",0,0
"PALMITOYL.COA.HYDROLASE.RXN__chlo",0,0
"TO1000033__chlo__cyto",0,0
"MMUM.RXN__cyto",0,0
"S.ADENMETSYN.RXN__cyto",0,0
"RXN.15124__chlo",0,-0.190063191628206
"RXN.10435__cyto",-0.0250891001466442,0
"HOMOSERKIN.RXN__chlo",0,0
"THIOESTER.RXN__mito",0,0
"THIOESTER.RXN__pero",0,0
"PEPDEPHOS.RXN__chlo",0,-0.207372053258945
"PEPDEPHOS.RXN__cyto",0,-0.207372052914316
"TI3001105__cyto__extr",0,0
"TI3001105__chlo__cyto",0,0
"RXN.18400__chlo",0,0
"CYTOCHROME.C.OXIDASE.RXN__mito",0,0
"ASPARAGHYD.RXN__mito",0,0
"ASPARAGHYD.RXN__chlo",0,0
"DUDPKIN.RXN__cyto",0,0
"DUDPKIN.RXN__mito",0,0
"DEOXYADENYLATE.KINASE.RXN__cyto",0,0
"GLY3KIN.RXN__chlo",0,-2.10540932900959e-10
"GLY3KIN.RXN__cyto",0,0
"TO0014231__cyto__extr",0,0
"RXN.961__chlo",-0.0347650269274538,0
"NAD.KIN.RXN__chlo",0,0
"RXN.19707__cyto",0,0
"TO3001997__cyto__extr",0,0.138720641849703
"SEDOHEPTULOSE.BISPHOSPHATASE.RXN__chlo",0,0
"SEDOHEPTULOSE.BISPHOSPHATASE.RXN__cyto",0,0
"RXN.3541__cyto",0,0
"RXN.10454__cyto",0,0
"RXN.23099__mito",0,0
"GLUTATHIONE.SYN.RXN__chlo",0,0
"F16BDEPHOS.RXN__chlo",0,0
"F16BDEPHOS.RXN__cyto",0,0
"GLUCOKIN.RXN__chlo",0,0
"GLUCOKIN.RXN__cyto",0,0
"TO3000437__cyto__extr",0,0
"TO3000437__chlo__cyto",0,0
"CATAL.RXN__pero",0,0
"CATAL.RXN__cyto",-0.164599478674124,0
"ADENYLYLSULFATASE.RXN__chlo",0,0
"ADENYLYLSULFATASE.RXN__pero",0,0
"ADENYLYLSULFATASE.RXN__cyto",0,0
"ADENYLYLSULFATASE.RXN__mito",0,0
"DEOXYGUANOSINE.KINASE.RXN__cyto",0,0
"RXN.14201__cyto",0,0
"RXN.14201__er",0,0
"TO3001127__cyto__extr",0,0
"TO3001127__chlo__cyto",0,0
"SULFATE.ADENYLYLTRANSFERASE.ADP.RXN__pero",0,0
"SULFATE.ADENYLYLTRANSFERASE.ADP.RXN__mito",0,0
"SULFATE.ADENYLYLTRANSFERASE.ADP.RXN__chlo",0,0
"TREHALOSEPHOSPHA.RXN__cyto",0,0
"PSERTRANSAM.RXN__chlo",0,-0.000427034719969319
"GLUTCYSLIG.RXN__chlo",0,0
"GLUC1PADENYLTRANS.RXN__chlo",0,0
"RXN.20534__cyto",0,0
"TI3002559__cyto__extr",0,0
"RXN.7674__chlo",0,0
"RXN.7703__mito",0,0
"RXN.7703__cyto",0,0
"PPPGPPHYDRO.RXN__cyto",0,0
"RXN.22438__cyto",0,0
"TI3002578__cyto__extr",0,0
"RXN.20591__cyto",0,0
"R08183__er",0,0
"T_Light__chlo",0,0
"X1.1.1.248.RXN__cyto_reverse",0,0
"L.LACTATE.DEHYDROGENASE.RXN__cyto_reverse",-0.0183728538882833,0
"ATPSYN.RXN__chlo_reverse",0,0
"GCVT.RXN__mito_reverse",0,0
"RXN.7572__cyto_reverse",-0.0183728538882833,0
"X1.18.1.2.RXN__chlo_reverse",0,0
"TI1000048__vacu__cyto",0,0
"RXN.13641__chlo",0,0
"RXN.8092__cyto",0,0
"TI1000242__vacu__cyto",0,0
"RXN.13641__chlo_reverse",0,0
"TRYPTOPHAN.AMINOTRANSFERASE.RXN__cyto",0,0
"X2.4.1.67.RXN__cyto",0,0
"TRYPTOPHAN.AMINOTRANSFERASE.RXN__cyto_reverse",0,0
"X2.4.1.67.RXN__cyto_reverse",0,0
"TYROSINE.AMINOTRANSFERASE.RXN__cyto",0,0
"RXN3O.4157__cyto",0,0
"X2.6.1.58.RXN__cyto",0,0
"TYROSINE.AMINOTRANSFERASE.RXN__cyto_reverse",0,0
"RXN3O.4157__cyto_reverse",0,0
"X2.6.1.58.RXN__cyto_reverse",0,0
"RXN.15513__chlo",0,-0.312890119048291
"RXN.15513__cyto",0,-0.312890119048291
"RXN.15513__chlo_reverse",0,-0.312890119048291
"RXN.15513__cyto_reverse",0,-0.312890119048291
